Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D100, D101, D102, D103, D104, D105, D106, D107, D108, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",Diode_DO-35,108,Diode,
J1,OLED_128x32,1,OLED_128x32,
"S1, S10, S100, S101, S102, S103, S106, S107, S108, S11, S12, S13, S14, S15, S16, S17, S18, S19, S2, S20, S21, S22, S23, S24, S25, S26, S29, S3, S30, S31, S32, S33, S34, S35, S36, S37, S38, S39, S4, S40, S42, S43, S44, S45, S46, S47, S48, S49, S5, S50, S51, S52, S53, S56, S57, S58, S59, S6, S60, S61, S62, S63, S64, S65, S66, S69, S7, S70, S71, S73, S74, S75, S77, S78, S79, S8, S80, S81, S82, S83, S84, S85, S86, S87, S88, S89, S9, S90, S91, S92, S93, S94, S95, S96, S98, S99",MX_PCB_1.00u,96,Keyswitch,
"S104, S97",MX_PCB_2.00u_90deg,2,Keyswitch,
"S105, S27, S55, S67",MX_PCB_2.00u,4,Keyswitch,
S28,MX_PCB_1.50u,1,Keyswitch,
"S41, S68",MX_PCB_1.75u,2,Keyswitch,
S54,MX_PCB_ISOEnter,1,Keyswitch,
S72,MX_PCB_6.00u,1,Keyswitch,
S76,MX_PCB_1.25u,1,Keyswitch,
U1,Raspberry_Pi_Pico,1,Raspberry_Pi_Pico,
